seq,t_utc,true_label,pred_prob,pred_label,model_version,http_status
317,2026-09-22T07:54:40Z,0.0,0.19606310145619296,0,4,200
318,2026-09-22T07:54:40Z,1.0,0.19221364384742126,0,2,200
319,2026-09-22T07:54:40Z,0.0,0.2754283610238609,0,2,200
320,2026-09-22T07:54:41Z,0.0,0.05351860459454612,0,4,200
321,2026-09-22T07:54:41Z,0.0,0.19345083005721903,0,2,200
322,2026-09-22T07:54:41Z,1.0,0.2702368951282424,0,2,200
323,2026-09-22T07:54:42Z,0.0,0.06556472506767014,0,2,200
324,2026-09-22T07:54:43Z,0.0,0.041696224928108636,0,2,200
325,2026-09-22T07:54:44Z,0.0,0.09371125300372687,0,2,200
326,2026-09-22T07:54:44Z,0.0,0.1995017458136259,0,2,200
327,2026-09-22T07:54:45Z,1.0,0.19436082800432422,0,2,200
328,2026-09-22T07:54:45Z,0.0,0.02462772379555307,0,2,200
329,2026-09-22T07:54:45Z,0.0,0.01976554684298958,0,2,200
330,2026-09-22T07:54:46Z,1.0,0.1381089393218812,0,2,200
331,2026-09-22T07:54:46Z,0.0,0.026693507756745997,0,2,200
332,2026-09-22T07:54:47Z,0.0,0.13219205543236218,0,2,200
333,2026-09-22T07:54:47Z,0.0,0.11458539992682146,0,2,200
334,2026-09-22T07:54:47Z,0.0,0.02206733798637926,0,2,200
335,2026-09-22T07:54:48Z,0.0,0.033266239539541796,0,2,200
336,2026-09-22T07:54:48Z,0.0,0.1165653180580585,0,4,200
337,2026-09-22T07:54:48Z,0.0,0.2077850803820075,0,2,200
338,2026-09-22T07:54:49Z,0.0,0.03801936711421822,0,2,200
339,2026-09-22T07:54:49Z,0.0,0.08492873167002023,0,2,200
340,2026-09-22T07:54:49Z,0.0,0.01696326071192877,0,2,200
341,2026-09-22T07:54:50Z,0.0,0.02989225567017641,0,2,200
342,2026-09-22T07:54:50Z,0.0,0.07927396028952935,0,2,200
343,2026-09-22T07:54:51Z,0.0,0.057687748234724466,0,4,200
344,2026-09-22T07:54:51Z,0.0,0.20345430215322224,0,2,200
345,2026-09-22T07:54:51Z,0.0,0.05260204986673049,0,2,200
346,2026-09-22T07:54:52Z,0.0,0.028603059897480243,0,2,200
347,2026-09-22T07:54:52Z,0.0,0.06771046819701151,0,4,200
348,2026-09-22T07:54:52Z,0.0,0.026018666792528476,0,2,200
349,2026-09-22T07:54:53Z,0.0,0.10421502391913133,0,4,200
350,2026-09-22T07:54:53Z,0.0,0.14461160231424366,0,2,200
351,2026-09-22T07:54:53Z,0.0,0.04521262230984446,0,2,200
352,2026-09-22T07:54:54Z,1.0,0.47682582988139993,0,2,200
353,2026-09-22T07:54:54Z,0.0,0.2953446542193474,0,2,200
354,2026-09-22T07:54:55Z,0.0,0.3123170896126825,0,2,200
355,2026-09-22T07:54:55Z,0.0,0.05011480631930152,0,2,200
356,2026-09-22T07:54:55Z,1.0,0.49625036558905306,0,2,200
357,2026-09-22T07:54:56Z,0.0,0.05351860459454612,0,4,200
358,2026-09-22T07:54:56Z,1.0,0.40955929649969497,0,2,200
359,2026-09-22T07:54:56Z,0.0,0.0665926488263328,0,2,200
360,2026-09-22T07:54:57Z,0.0,0.06335110653138176,0,2,200
361,2026-09-22T07:54:57Z,0.0,0.07419567542287744,0,4,200
362,2026-09-22T07:54:57Z,1.0,0.265026221599686,0,2,200
363,2026-09-22T07:54:58Z,0.0,0.31126062206544675,0,4,200
364,2026-09-22T07:54:58Z,0.0,0.14611593425409922,0,2,200
365,2026-09-22T07:54:59Z,1.0,0.07175098462269304,0,2,200
366,2026-09-22T07:54:59Z,0.0,0.06891918321790928,0,2,200
367,2026-09-22T07:54:59Z,0.0,0.08349706695605047,0,2,200
368,2026-09-22T07:55:00Z,0.0,0.17968310184493205,0,2,200
369,2026-09-22T07:55:00Z,0.0,0.08396556929823192,0,2,200
370,2026-09-22T07:55:00Z,0.0,0.36825622985559525,0,2,200
371,2026-09-22T07:55:01Z,1.0,0.15176305995066938,0,2,200
372,2026-09-22T07:55:01Z,0.0,0.047160777058547716,0,2,200
373,2026-09-22T07:55:01Z,0.0,0.02811804644355089,0,2,200
374,2026-09-22T07:55:02Z,1.0,0.3205583340926168,0,2,200
375,2026-09-22T07:55:02Z,0.0,0.026579359735232205,0,2,200
376,2026-09-22T07:55:02Z,0.0,0.07074601352774049,0,4,200
377,2026-09-22T07:55:03Z,0.0,0.020445939352814677,0,2,200
378,2026-09-22T07:55:03Z,0.0,0.15742759102253848,0,2,200
379,2026-09-22T07:55:03Z,0.0,0.1722194463012631,0,4,200
380,2026-09-22T07:55:04Z,0.0,0.02774966006120997,0,2,200
381,2026-09-22T07:55:04Z,0.0,0.021421134748371536,0,2,200
382,2026-09-22T07:55:05Z,0.0,0.026160522934236537,0,2,200
383,2026-09-22T07:55:05Z,0.0,0.02607975813664271,0,2,200
384,2026-09-22T07:55:05Z,0.0,0.033043257954905064,0,2,200
385,2026-09-22T07:55:06Z,0.0,0.019730480150883557,0,2,200
386,2026-09-22T07:55:06Z,0.0,0.16705114884055589,0,4,200
387,2026-09-22T07:55:06Z,0.0,0.01971698635443843,0,2,200
388,2026-09-22T07:55:07Z,0.0,0.20144161693037962,0,2,200
389,2026-09-22T07:55:07Z,0.0,0.02039847888825217,0,2,200
390,2026-09-22T07:55:07Z,0.0,0.028486509070347343,0,2,200
391,2026-09-22T07:55:08Z,0.0,0.025724843668758834,0,2,200
392,2026-09-22T07:55:08Z,1.0,0.04210983436497814,0,2,200
393,2026-09-22T07:55:09Z,0.0,0.15769850160053053,0,2,200
394,2026-09-22T07:55:09Z,0.0,0.05103933974132189,0,2,200
395,2026-09-22T07:55:09Z,0.0,0.01963972905066804,0,2,200
396,2026-09-22T07:55:10Z,0.0,0.17508204024590918,0,2,200
397,2026-09-22T07:55:10Z,0.0,0.16705114884055589,0,4,200
398,2026-09-22T07:55:10Z,0.0,0.030931367701373856,0,2,200
399,2026-09-22T07:55:11Z,0.0,0.1646310371994464,0,2,200
400,2026-09-22T07:55:11Z,0.0,0.0294071176555159,0,2,200
401,2026-09-22T07:55:11Z,0.0,0.2675030851190174,0,2,200
402,2026-09-22T07:55:12Z,0.0,0.2802032682076002,0,2,200
403,2026-09-22T07:55:13Z,0.0,0.05009768971884093,0,2,200
404,2026-09-22T07:55:13Z,0.0,0.31126062206544675,0,4,200
405,2026-09-22T07:55:13Z,0.0,0.06328581141071632,0,2,200
406,2026-09-22T07:55:14Z,0.0,0.24618582819292523,0,2,200
407,2026-09-22T07:55:14Z,0.0,0.15300760203623812,0,4,200
408,2026-09-22T07:55:14Z,0.0,0.31975408725998566,0,2,200
409,2026-09-22T07:55:15Z,1.0,0.3672082434941724,0,2,200
410,2026-09-22T07:55:15Z,0.0,0.04572240205602541,0,2,200
411,2026-09-22T07:55:15Z,0.0,0.04583268480923608,0,2,200
412,2026-09-22T07:55:16Z,1.0,0.37790958592642004,0,2,200
413,2026-09-22T07:55:16Z,1.0,0.046427232064050805,0,2,200
414,2026-09-22T07:55:16Z,0.0,0.05351860459454612,0,4,200
415,2026-09-22T07:55:17Z,0.0,0.05233862162916299,0,2,200
416,2026-09-22T07:55:17Z,0.0,0.11303829582666111,0,4,200
417,2026-09-22T07:55:18Z,0.0,0.04316454099667731,0,2,200
418,2026-09-22T07:55:18Z,0.0,0.05592847409302006,0,2,200
419,2026-09-22T07:55:18Z,0.0,0.03135858865116979,0,2,200
420,2026-09-22T07:55:19Z,0.0,0.056567964439879166,0,2,200
421,2026-09-22T07:55:19Z,0.0,0.29868232342194656,0,2,200
422,2026-09-22T07:55:19Z,1.0,0.4948526442651092,0,2,200
423,2026-09-22T07:55:20Z,1.0,0.44965240134092044,0,2,200
424,2026-09-22T07:55:20Z,0.0,0.08707992350276211,0,2,200
425,2026-09-22T07:55:20Z,0.0,0.04297531258076811,0,2,200
426,2026-09-22T07:55:21Z,0.0,0.02162428603257135,0,2,200
427,2026-09-22T07:55:21Z,0.0,0.1450525401768067,0,2,200
428,2026-09-22T07:55:21Z,0.0,0.019485652140486573,0,2,200
429,2026-09-22T07:55:22Z,0.0,0.021252864209526937,0,2,200
430,2026-09-22T07:55:22Z,0.0,0.01798780812461145,0,2,200
431,2026-09-22T07:55:23Z,0.0,0.11672686071030039,0,2,200
432,2026-09-22T07:55:23Z,0.0,0.01706246730096831,0,2,200
433,2026-09-22T07:55:23Z,0.0,0.040253677885772936,0,2,200
434,2026-09-22T07:55:24Z,0.0,0.0350193524982519,0,2,200
435,2026-09-22T07:55:24Z,0.0,0.12267666914012437,0,2,200
436,2026-09-22T07:55:24Z,0.0,0.013815308741755466,0,2,200
437,2026-09-22T07:55:25Z,0.0,0.16825173893937154,0,2,200
438,2026-09-22T07:55:25Z,0.0,0.035349799541078114,0,2,200
439,2026-09-22T07:55:25Z,1.0,0.1443246810542279,0,2,200
440,2026-09-22T07:55:26Z,0.0,0.01742500414844293,0,2,200
441,2026-09-22T07:55:26Z,0.0,0.03404048458069872,0,2,200
442,2026-09-22T07:55:27Z,0.0,0.032787342298957765,0,2,200
443,2026-09-22T07:55:27Z,0.0,0.07917617950879131,0,2,200
444,2026-09-22T07:55:27Z,0.0,0.14348726370672507,0,2,200
445,2026-09-22T07:55:28Z,1.0,0.027722576587179127,0,2,200
446,2026-09-22T07:55:28Z,0.0,0.019011484527583465,0,2,200
447,2026-09-22T07:55:28Z,0.0,0.037485756754158196,0,2,200
448,2026-09-22T07:55:29Z,0.0,0.0272163128321758,0,2,200
449,2026-09-22T07:55:29Z,0.0,0.10478487775945534,0,2,200
450,2026-09-22T07:55:29Z,1.0,0.4322951407242312,0,2,200
451,2026-09-22T07:55:30Z,0.0,0.06581378571846787,0,2,200
452,2026-09-22T07:55:30Z,0.0,0.08735211920836272,0,2,200
453,2026-09-22T07:55:30Z,0.0,0.16901245694412914,0,2,200
454,2026-09-22T07:55:31Z,0.0,0.25646863542044035,0,2,200
455,2026-09-22T07:55:31Z,0.0,0.13206135755327006,0,2,200
456,2026-09-22T07:55:32Z,1.0,0.3584345601611068,0,2,200
457,2026-09-22T07:55:32Z,1.0,0.26663352667380585,0,2,200
458,2026-09-22T07:55:32Z,1.0,0.057687748234724466,0,4,200
459,2026-09-22T07:55:33Z,1.0,0.26865081376568833,0,2,200
460,2026-09-22T07:55:33Z,0.0,0.383480039320814,0,2,200
461,2026-09-22T07:55:33Z,0.0,0.06534879943409105,0,2,200
462,2026-09-22T07:55:34Z,0.0,0.4689332197234631,0,2,200
463,2026-09-22T07:55:34Z,0.0,0.057687748234724466,0,4,200
464,2026-09-22T07:55:34Z,1.0,0.183700722598323,0,2,200
465,2026-09-22T07:55:35Z,0.0,0.07972287437895063,0,2,200
466,2026-09-22T07:55:35Z,1.0,0.3252072463693333,0,2,200
467,2026-09-22T07:55:36Z,0.0,0.40425820097251147,0,2,200
468,2026-09-22T07:55:36Z,0.0,0.17316908254980592,0,2,200
469,2026-09-22T07:55:36Z,0.0,0.060657263599214854,0,2,200
470,2026-09-22T07:55:37Z,1.0,0.5201133023007184,1,2,200
471,2026-09-22T07:55:37Z,0.0,0.07801991600219832,0,2,200
472,2026-09-22T07:55:37Z,0.0,0.09683711429107163,0,2,200
473,2026-09-22T07:55:38Z,0.0,0.0851773350440506,0,2,200
474,2026-09-22T07:55:38Z,1.0,0.5674305075844172,1,2,200
475,2026-09-22T07:55:38Z,0.0,0.1113970205973513,0,4,200
476,2026-09-22T07:55:39Z,0.0,0.02184417086412519,0,2,200
477,2026-09-22T07:55:39Z,0.0,0.014940626900470632,0,2,200
478,2026-09-22T07:55:40Z,0.0,0.17067333736329487,0,2,200
479,2026-09-22T07:55:40Z,0.0,0.016907747054478207,0,2,200
480,2026-09-22T07:55:40Z,0.0,0.09334575032759845,0,4,200
481,2026-09-22T07:55:41Z,0.0,0.01741605751087277,0,2,200
482,2026-09-22T07:55:41Z,1.0,0.016027998630867287,0,2,200
483,2026-09-22T07:55:41Z,0.0,0.0158924308089558,0,2,200
484,2026-09-22T07:55:42Z,0.0,0.15785708662659442,0,2,200
485,2026-09-22T07:55:42Z,0.0,0.014158096572314129,0,2,200
486,2026-09-22T07:55:42Z,0.0,0.057687748234724466,0,4,200
487,2026-09-22T07:55:43Z,0.0,0.01817210914439063,0,2,200
488,2026-09-22T07:55:43Z,0.0,0.10938394199786546,0,2,200
489,2026-09-22T07:55:44Z,0.0,0.03191947741124154,0,2,200
490,2026-09-22T07:55:44Z,0.0,0.04349947690877275,0,2,200
491,2026-09-22T07:55:44Z,0.0,0.017936036441222002,0,2,200
492,2026-09-22T07:55:45Z,0.0,0.06778670320667055,0,2,200
493,2026-09-22T07:55:45Z,0.0,0.12269834744164095,0,2,200
494,2026-09-22T07:55:45Z,0.0,0.1124902346395094,0,2,200
495,2026-09-22T07:55:46Z,0.0,0.0586869020552533,0,4,200
496,2026-09-22T07:55:46Z,0.0,0.017149665388777012,0,2,200
497,2026-09-22T07:55:46Z,0.0,0.14501492775569474,0,2,200
498,2026-09-22T07:55:47Z,0.0,0.014638164451458095,0,2,200
